code;intitule
AGEPD;Agriculture, Élevage et Produits Dérivés
HYMAE;Hydraulique et Maîtrise des Eaux
MCHP;Météorologie, Climatologie, Hydrologie et Pédologie
GCA;Génie Civil et Architecture
SCIENV;Sciences Environnementales
INFOTEL;Informatique et Télécommunications
ENREN;Énergies Renouvelables
