code_departement;code_specialite
AGEPD;AGRAL
AGEPD;EAME
AGEPD;PAA
AGEPD;PV
HYMAE;GEHY
HYMAE;GESE
MCHP;Climatologie
MCHP;HYDRO
MCHP;PEDO
MCHP;CMET
HYMAE;HYMAE
GCA;GC
SCIENV;DEREN
SCIENV;DEPO
SCIENV;GC
INFOTEL;SAR
INFOTEL;TELE
INFOTEL;IG
INFOTEL;INFO
ENREN;BIO
